Task Order,Task,Total,SD,Min,25th,Median,75th,Max
Pre,Finch1,0.23,0.2,0,0.1,0.2,0.4,0.9
,Finch2,0.19,0.2,0,0.08,0.1,0.3,0.7
,Swallows1,0.34,0.22,0,0.1,0.3,0.5,0.9
,Swallows2,0.28,0.21,0,0.1,0.2,0.4,0.9
,Species1,0.29,0.16,0,0.2,0.3,0.4,0.6
,Tibet2,0.34,0.23,0,0.15,0.3,0.5,1
Post,Finch1,0.34,0.23,0,0.1,0.4,0.5,0.9
,Finch2,0.3,0.22,0,0.1,0.3,0.5,0.8
,Swallows1,0.42,0.22,0,0.2,0.4,0.6,0.9
,Swallows2,0.4,0.24,0,0.2,0.4,0.6,0.9
,Species1,0.39,0.18,0,0.3,0.4,0.5,0.9
,Tibet2,0.47,0.22,0,0.3,0.5,0.65,1